MULTI_RES,SINGLE_RES,HOTEL,OFFICE,RETAIL,FOODSTORE,RESTAURANT,INDUSTRIAL,SCHOOL,HOSPITAL,GYM
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0,0,0.48,0
0.6,0.6,0.46,0,0.2,0.2,0,0,0,0.68,0.4
0.4,0.4,0.1,0,0.4,0.4,0.23,0,0,0.68,0.64
0.4,0.4,0.04,0,0.4,0.4,0.23,0,0,0.76,0.8
0.4,0.4,0.04,0,0.4,0.4,0.23,0,0,0.84,0.8
0.4,0.4,0.04,0,0.6,0.6,0.32,0,0,0.84,0.64
0.6,0.6,0.04,0,0.6,0.6,0.83,0,0,0.76,0
0.4,0.4,0.04,0,0.6,0.6,0.43,0,0,0.76,0.64
0.4,0.4,0.04,0,0.4,0.4,0.06,0,0,0.84,0.8
0.4,0.4,0.04,0,0.4,0.4,0,0,0,0.84,0.8
0.6,0.6,0.04,0,0.6,0.6,0,0,0,0.68,0.64
0.8,0.8,0.1,0,0.8,0.8,0,0,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0,0,0.48,0
0.6,0.6,0.46,0,0,0,0,0,0,0.68,0.4
0.4,0.4,0.1,0,0,0,0.23,0,0,0.68,0.64
0.4,0.4,0.04,0,0,0,0.23,0,0,0.76,0.8
0.4,0.4,0.04,0,0,0,0.23,0,0,0.84,0.8
0.4,0.4,0.04,0,0,0,0.32,0,0,0.84,0.64
0.6,0.6,0.04,0,0,0,0.83,0,0,0.76,0
0.4,0.4,0.04,0,0,0,0.43,0,0,0.76,0.64
0.4,0.4,0.04,0,0,0,0.06,0,0,0.84,0.8
0.4,0.4,0.04,0,0,0,0,0,0,0.84,0.8
0.6,0.6,0.04,0,0,0,0,0,0,0.68,0.64
0.8,0.8,0.1,0,0,0,0,0,0,0.68,0.4
0.8,0.8,0.1,0,0,0,0.23,0,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0,0,0.48,0
0.6,0.6,0.46,0,0.2,0.2,0,0,0,0.68,0.4
0.4,0.4,0.1,0,0.4,0.4,0.23,0,0,0.68,0.64
0.4,0.4,0.04,0,0.4,0.4,0.23,0,0,0.76,0.8
0.4,0.4,0.04,0,0.4,0.4,0.23,0,0,0.84,0.8
0.4,0.4,0.04,0,0.6,0.6,0.32,0,0,0.84,0.64
0.6,0.6,0.04,0,0.6,0.6,0.83,0,0,0.76,0
0.4,0.4,0.04,0,0.6,0.6,0.43,0,0,0.76,0.64
0.4,0.4,0.04,0,0.4,0.4,0.06,0,0,0.84,0.8
0.4,0.4,0.04,0,0.4,0.4,0,0,0,0.84,0.8
0.6,0.6,0.04,0,0.6,0.6,0,0,0,0.68,0.64
0.8,0.8,0.1,0,0.8,0.8,0,0,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0,0,0.48,0
0.6,0.6,0.46,0,0,0,0,0,0,0.68,0.4
0.4,0.4,0.1,0,0,0,0.23,0,0,0.68,0.64
0.4,0.4,0.04,0,0,0,0.23,0,0,0.76,0.8
0.4,0.4,0.04,0,0,0,0.23,0,0,0.84,0.8
0.4,0.4,0.04,0,0,0,0.32,0,0,0.84,0.64
0.6,0.6,0.04,0,0,0,0.83,0,0,0.76,0
0.4,0.4,0.04,0,0,0,0.43,0,0,0.76,0.64
0.4,0.4,0.04,0,0,0,0.06,0,0,0.84,0.8
0.4,0.4,0.04,0,0,0,0,0,0,0.84,0.8
0.6,0.6,0.04,0,0,0,0,0,0,0.68,0.64
0.8,0.8,0.1,0,0,0,0,0,0,0.68,0.4
0.8,0.8,0.1,0,0,0,0.23,0,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.16,0,0.44,0
1,1,0.91,0,0,0,0,0.4,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0.64,0,0.48,0
0.6,0.6,0.46,0.2,0.2,0.2,0,0.8,0.16,0.68,0.4
0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0
0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
0.4,0.4,0.04,0.8,0.4,0.4,0,0.64,0.64,0.84,0.8
0.6,0.6,0.04,0.4,0.6,0.6,0,0.64,0.16,0.68,0.64
0.8,0.8,0.1,0.2,0.8,0.8,0,0.64,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0.4,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0.4,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0.4,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0.4,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0.16,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0.16,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0,0,0.48,0
0.6,0.6,0.46,0,0.2,0.2,0,0,0,0.68,0.4
0.4,0.4,0.1,0,0.4,0.4,0.23,0,0,0.68,0.64
0.4,0.4,0.04,0,0.4,0.4,0.23,0,0,0.76,0.8
0.4,0.4,0.04,0,0.4,0.4,0.23,0,0,0.84,0.8
0.4,0.4,0.04,0,0.6,0.6,0.32,0,0,0.84,0.64
0.6,0.6,0.04,0,0.6,0.6,0.83,0,0,0.76,0
0.4,0.4,0.04,0,0.6,0.6,0.43,0,0,0.76,0.64
0.4,0.4,0.04,0,0.4,0.4,0.06,0,0,0.84,0.8
0.4,0.4,0.04,0,0.4,0.4,0,0,0,0.84,0.8
0.6,0.6,0.04,0,0.6,0.6,0,0,0,0.68,0.64
0.8,0.8,0.1,0,0.8,0.8,0,0,0,0.68,0.4
0.8,0.8,0.1,0,0.6,0.6,0.23,0,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.9,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
1,1,0.91,0,0,0,0,0,0,0.44,0
0.8,0.8,0.76,0,0,0,0,0,0,0.48,0
0.6,0.6,0.46,0,0,0,0,0,0,0.68,0.4
0.4,0.4,0.1,0,0,0,0.23,0,0,0.68,0.64
0.4,0.4,0.04,0,0,0,0.23,0,0,0.76,0.8
0.4,0.4,0.04,0,0,0,0.23,0,0,0.84,0.8
0.4,0.4,0.04,0,0,0,0.32,0,0,0.84,0.64
0.6,0.6,0.04,0,0,0,0.83,0,0,0.76,0
0.4,0.4,0.04,0,0,0,0.43,0,0,0.76,0.64
0.4,0.4,0.04,0,0,0,0.06,0,0,0.84,0.8
0.4,0.4,0.04,0,0,0,0,0,0,0.84,0.8
0.6,0.6,0.04,0,0,0,0,0,0,0.68,0.64
0.8,0.8,0.1,0,0,0,0,0,0,0.68,0.4
0.8,0.8,0.1,0,0,0,0.23,0,0,0.48,0.64
0.8,0.8,0.1,0,0,0,0.29,0,0,0.44,0.64
0.8,0.8,0.4,0,0,0,0.49,0,0,0.44,0.64
1,1,0.58,0,0,0,0.74,0,0,0.44,0.4
1,1,0.76,0,0,0,0.2,0,0,0.44,0.4
1,1,0.91,0,0,0,0.17,0,0,0.44,0
1,1,0.9,0,0,0,0,0.16,0,0.44,0
